library,type,old_version,new_version,commit_date
org.lionsouljcseg-core,"update","2.0.1","2.1.0",2017-01-09T01:27:30Z
org.lionsouljcseg-core,"update","1.9.9","2.0.1",2016-11-10T03:52:46Z
org.lionsouljcseg-core,"update","${jcseg.version}","1.9.9",2016-07-08T14:23:52Z
org.lionsouljcseg-core,"add","","${jcseg.version}",2016-07-06T11:11:20Z
org.apache.lucenelucene-core,"update","6.0.0","6.3.0",2017-01-08T02:21:54Z
org.apache.lucenelucene-core,"update","5.1.0","6.0.0",2016-04-19T03:34:52Z
org.apache.lucenelucene-core,"update","4.10.4","5.1.0",2015-12-28T07:21:45Z
org.apache.lucenelucene-core,"update","5.1.0","4.10.4",2015-10-23T06:35:43Z
org.apache.lucenelucene-core,"update","4.10.1","5.1.0",2015-05-31T08:34:19Z
org.apache.lucenelucene-core,"update","4.9.0","4.10.1",2014-10-11T08:41:34Z
org.apache.lucenelucene-core,"update","4.6.0","4.9.0",2014-08-14T06:13:41Z
org.apache.lucenelucene-analyzers-common,"update","6.0.0","6.3.0",2017-01-08T02:21:54Z
org.apache.lucenelucene-analyzers-common,"update","5.1.0","6.0.0",2016-04-19T03:34:52Z
org.apache.lucenelucene-analyzers-common,"update","4.10.4","5.1.0",2015-12-28T07:21:45Z
org.apache.lucenelucene-analyzers-common,"update","5.1.0","4.10.4",2015-10-23T06:35:43Z
org.apache.lucenelucene-analyzers-common,"update","4.10.1","5.1.0",2015-05-31T08:34:19Z
org.apache.lucenelucene-analyzers-common,"update","4.9.0","4.10.1",2014-10-11T08:41:34Z
org.apache.lucenelucene-analyzers-common,"update","4.6.0","4.9.0",2014-08-14T06:13:41Z
org.lionsoul.jcsegjcseg-core,"remove","${jcseg.version}","",2016-07-06T11:11:20Z
org.lionsoul.jcsegjcseg-core,"update","1.9.3","${jcseg.version}",2014-07-13T12:41:00Z
