library,type,old_version,new_version,commit_date
org.activitiactiviti-modeler,"add","","unknown",2018-03-25T14:28:56Z
org.springframeworkspring-core,"add","","unknown",2017-06-19T06:44:43Z
com.fasterxml.jackson.corejackson-databind,"add","","unknown",2018-01-02T06:14:53Z
org.springframeworkspring-context,"add","","unknown",2017-06-19T06:44:43Z
com.github.emailtohl.integrationintegration-cms,"remove","${project.version}","",2017-12-26T13:52:34Z
com.github.emailtohl.integrationintegration-cms,"update","1.0.0-RELEASE","${project.version}",2017-06-20T05:41:54Z
com.github.emailtohl.integrationintegration-cms,"add","","1.0.0-RELEASE",2017-06-18T01:30:01Z
javax.eljavax.el-api,"update","3.0.0","unknown",2017-11-10T02:49:05Z
org.apache.commonscommons-email,"add","","unknown",2017-06-29T14:39:37Z
com.github.emailtohl.integrationintegration-core,"add","","${project.version}",2017-12-26T13:52:34Z
org.springframework.integrationspring-integration-mail,"remove","unknown","",2018-08-03T02:13:23Z
org.apache.poipoi,"update","3.15","unknown",2017-06-15T11:02:01Z
org.springframeworkspring-beans,"add","","unknown",2017-06-19T06:44:43Z
org.activitiactiviti-spring,"add","","unknown",2017-12-26T13:52:34Z
javax.websocketjavax.websocket-client-api,"add","","unknown",2017-12-26T13:52:34Z
javax.websocketjavax.websocket-client-api,"remove","1.1","",2017-12-26T13:20:26Z
com.github.emailtohl.integrationintegration-user,"remove","${project.version}","",2017-12-26T13:52:34Z
com.github.emailtohl.integrationintegration-user,"update","1.0.0-RELEASE","${project.version}",2017-06-20T05:41:54Z
com.github.emailtohl.integrationintegration-user,"add","","1.0.0-RELEASE",2017-06-17T07:04:45Z
org.springframeworkspring-context-support,"add","","unknown",2017-06-19T06:44:43Z
com.fasterxml.jackson.corejackson-annotations,"add","","unknown",2018-01-02T06:14:53Z
com.h2databaseh2,"add","","unknown",2017-06-18T13:46:28Z
org.activitiactiviti-rest,"add","","unknown",2018-03-09T05:15:10Z
taglibsstandard,"update","1.1.2","unknown",2017-11-10T02:49:05Z
org.apache.poipoi-ooxml,"update","3.15","unknown",2017-06-15T11:02:01Z
com.fasterxml.jackson.corejackson-core,"add","","unknown",2018-01-02T06:14:53Z
javax.websocketjavax.websocket-api,"update","1.1","unknown",2017-12-26T13:20:26Z
org.mybatismybatis-spring,"add","","unknown",2018-02-27T09:31:23Z
org.springframeworkspring-test,"add","","unknown",2017-06-19T06:44:43Z
org.springframeworkspring-aspects,"add","","unknown",2017-06-19T06:44:43Z
org.mockitomockito-all,"add","","unknown",2017-06-19T06:44:43Z
com.github.emailtohllib,"remove","2.0.0-RELEASE","",2018-08-03T06:06:06Z
com.github.emailtohllib,"add","","2.0.0-RELEASE",2018-08-03T02:13:23Z
com.github.emailtohl.integrationintegration-flow,"remove","${project.version}","",2017-12-26T13:52:34Z
com.github.emailtohl.integrationintegration-flow,"update","1.0.0-RELEASE","${project.version}",2017-06-20T05:41:54Z
com.github.emailtohl.integrationintegration-flow,"add","","1.0.0-RELEASE",2017-06-18T01:30:01Z
com.github.emailtohl.integrationintegration-message,"remove","${project.version}","",2017-12-26T13:52:34Z
com.github.emailtohl.integrationintegration-message,"update","1.0.0-RELEASE","${project.version}",2017-06-20T05:41:54Z
com.github.emailtohl.integrationintegration-message,"add","","1.0.0-RELEASE",2017-06-18T03:28:58Z
com.github.emailtohl.integrationintegration-conference,"remove","${project.version}","",2017-12-26T13:52:34Z
com.github.emailtohl.integrationintegration-conference,"update","1.0.0-RELEASE","${project.version}",2017-06-20T05:41:54Z
com.github.emailtohl.integrationintegration-conference,"add","","1.0.0-RELEASE",2017-06-20T04:47:56Z
com.github.emailtohl.integrationintegration-common,"remove","${project.version}","",2018-08-03T02:13:23Z
com.github.emailtohl.integrationintegration-common,"update","1.0.0-RELEASE","${project.version}",2017-06-20T05:41:54Z
com.github.emailtohl.integrationintegration-common,"add","","1.0.0-RELEASE",2017-06-17T07:04:45Z
org.glassfish.webjavax.el,"add","","2.2.6",2017-06-19T06:44:43Z
org.mybatismybatis,"add","","unknown",2018-02-27T09:31:23Z
org.activitiactiviti-engine,"add","","unknown",2017-12-26T13:52:34Z
