library,type,old_version,new_version,commit_date
org.apache.lucenelucene-core,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-core,"update","3.6.0","4.1.0",2013-02-26T07:37:58Z
org.apache.lucenelucene-core,"update","3.5.0","3.6.0",2012-04-26T21:32:50Z
org.apache.lucenelucene-core,"update","3.4.0","3.5.0",2012-02-03T10:09:59Z
org.apache.lucenelucene-core,"update","3.1.0","3.4.0",2011-10-20T13:13:44Z
org.apache.lucenelucene-core,"update","3.0.3","3.1.0",2011-05-03T19:05:17Z
org.apache.lucenelucene-core,"update","3.0.1","3.0.3",2010-12-09T17:32:11Z
org.apache.lucenelucene-analyzers-common,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-analyzers-common,"add","","4.1.0",2013-02-26T07:37:58Z
net.sourceforge.jregexjregex,"add","","1.2_01",2012-08-10T20:42:24Z
org.apache.lucenelucene-analyzers-icu,"update","4.1.0","4.10.4",2015-12-08T14:35:02Z
org.apache.lucenelucene-analyzers-icu,"add","","4.1.0",2014-10-09T08:05:29Z
